Index,DLL Path,Suspicious,Signature Info
1,C:\WINDOWS\SYSTEM32\ntdll.dll,No,Not checked
2,C:\WINDOWS\System32\KERNELBASE.dll,No,Not checked
3,C:\WINDOWS\System32\user32.dll,No,Not checked
4,C:\WINDOWS\System32\win32u.dll,No,Not checked
5,C:\WINDOWS\System32\GDI32.dll,No,Not checked
6,C:\WINDOWS\System32\gdi32full.dll,No,Not checked
7,C:\WINDOWS\SYSTEM32\cfgmgr32.dll,No,Not checked
8,C:\WINDOWS\System32\msvcp_win.dll,No,Not checked
9,C:\WINDOWS\System32\ucrtbase.dll,No,Not checked
10,C:\WINDOWS\System32\shcore.dll,No,Not checked
11,C:\WINDOWS\SYSTEM32\powrprof.dll,No,Not checked
12,C:\WINDOWS\System32\RPCRT4.dll,No,Not checked
13,C:\WINDOWS\System32\combase.dll,No,Not checked
14,C:\WINDOWS\SYSTEM32\kernel.appcore.dll,No,Not checked
15,C:\WINDOWS\System32\msvcrt.dll,No,Not checked
16,C:\WINDOWS\SYSTEM32\UMPDC.dll,No,Not checked
17,C:\WINDOWS\system32\uxtheme.dll,No,Not checked
18,C:\WINDOWS\System32\MSCTF.dll,No,Not checked
19,C:\WINDOWS\system32\Wtsapi32.dll,No,Not checked
20,C:\WINDOWS\SYSTEM32\WINSTA.dll,No,Not checked
21,C:\WINDOWS\SYSTEM32\windows.staterepositorycore.dll,No,Not checked
22,C:\WINDOWS\System32\sechost.dll,No,Not checked
23,C:\WINDOWS\System32\Shell32.dll,No,Not checked
24,C:\WINDOWS\System32\wintypes.dll,No,Not checked
25,C:\WINDOWS\SYSTEM32\Windows.Storage.dll,No,Not checked
26,C:\WINDOWS\System32\advapi32.dll,No,Not checked
27,C:\WINDOWS\System32\bcryptPrimitives.dll,No,Not checked
28,C:\WINDOWS\System32\shlwapi.dll,No,Not checked
29,C:\WINDOWS\System32\ole32.dll,No,Not checked
30,C:\WINDOWS\SYSTEM32\PROPSYS.dll,No,Not checked
31,C:\WINDOWS\System32\OLEAUT32.dll,No,Not checked
32,C:\WINDOWS\System32\clbcatq.dll,No,Not checked
33,C:\WINDOWS\SYSTEM32\profapi.dll,No,Not checked
34,C:\WINDOWS\SYSTEM32\edputil.dll,No,Not checked
