Index,Application,DLL Path,Signature Status,Publisher,Expected Signer,Verification,Company,Size,Modified,SHA256
1,Vivaldi,C:\Users\arthur\AppData\Local\Vivaldi\Application\7.1.3570.58\vivaldi_elf.dll,Unsigned,None,Vivaldi Technologies AS,"❌ Invalid (expected Vivaldi Technologies AS, no signature found)",,1.31 MB,2025-02-26 23:44:02,d06611636e63779408c31f91a677792859cad0440ec001f2b6fe851043de431a
2,OneDrive,C:\Users\arthur\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\FileSyncShell64.dll,Unsigned,None,Microsoft Corporation,"❌ Invalid (expected Microsoft Corporation, no signature found)",,1.81 MB,2025-03-03 21:54:54,5244a135d38e50277bdda0635b0c673a87414df3bc9d3616da96e001a5e4d5a5
3,Cursor,C:\Users\arthur\AppData\Local\Programs\cursor\ffmpeg.dll,Unsigned,None,Unknown Signer,"❌ Invalid (expected Unknown Signer, no signature found)",,2.79 MB,2025-02-28 20:03:58,a946aa28f0a5402c0f5b48c0533f32272d3a3ab1558a49eddd37a93880f50a1a
4,Unknown,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\StartMenu.dll,Unsigned,None,Unknown,Unsigned,,3.26 MB,2025-03-04 19:42:38,89452c515083bf8b7fe64c2148ce67605221d1a66ed28e007ae4ed890c597f62
5,Unknown,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.Photon_cw5n1h2txyewy\VCRUNTIME140_1_APP.dll,Unsigned,None,Unknown,Unsigned,,0.04 MB,2024-10-06 17:03:55,db894749cf8c88fe40057bb486415ca7f7a5988e7fa593070266682a93d9d858
6,Unknown,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.Photon_cw5n1h2txyewy\VCRUNTIME140_APP.dll,Unsigned,None,Unknown,Unsigned,,0.10 MB,2024-10-06 17:03:55,b8acc56e87437e2dfbb6dfac36b99ee41562da1727dbc95535c2cd8ed3a538ad
7,Unknown,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.Photon_cw5n1h2txyewy\MSVCP140_APP.dll,Unsigned,None,Unknown,Unsigned,,0.54 MB,2024-10-06 17:03:53,40d3e4997d76ee34c3c3b276dc146b9feb8b7ac0032d2adccce1e81e481c9381
8,Unknown,C:\Windows\ShellComponents\WindowsInternal.ComposableShell.DesktopHosting.dll,Unsigned,None,Unknown,Unsigned,,0.38 MB,2025-02-22 09:36:36,b97f500bd955bf633a4e720890f6b52bb622bf15bfcaef103d2483f5caa0e244
9,Unknown,C:\Windows\ShellComponents\WindowsInternal.ComposableShell.Experiences.Switcher.dll,Unsigned,None,Unknown,Unsigned,,2.65 MB,2025-02-15 09:16:55,a48a9bb29da074f102ba594e74906b1d9910ed7c21edf23ed07d6ba961aaedbc
10,Unknown,C:\Windows\ShellExperiences\TileControl.dll,Unsigned,None,Unknown,Unsigned,,0.46 MB,2025-02-22 09:36:44,38d4ce3fc57d09dba15ff65c405b6acd83a6a9d2a78bb2bf577db9cffca2e230
11,Unknown,C:\Windows\ShellComponents\WindowsInternal.ShellUI.dll,Unsigned,None,Unknown,Unsigned,,0.16 MB,2024-10-06 17:03:09,055c5c017fe48aecbf14858f7d9902afabea5377aba76d399382c8a38d6b9d7f
12,Unknown,C:\Windows\SystemApps\Microsoft.UI.Xaml.CBS_8wekyb3d8bbwe\Microsoft.UI.Xaml.dll,Unsigned,None,Unknown,Unsigned,,5.81 MB,2024-04-01 15:22:43,593089065aa2709121167df0ef209e00a98de9221a42688c2eeef24664a6b705
13,Unknown,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\Taskbar.View.dll,Unsigned,None,Unknown,Unsigned,,9.99 MB,2025-03-04 19:42:38,e6d1e783ad1b2ee785ab5919aad1e71326e6a2697423ef09e3d051c61cb20616
14,Unknown,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchUx.Model.dll,Unsigned,None,Unknown,Unsigned,,1.53 MB,2025-03-04 19:42:38,684cd8edf4f4c17c1821004c3bbf4b7fe0b3de1531d804f9017f24f72113ec1e
15,Unknown,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\AdaptiveCards.ObjectModel.Uwp.dll,Unsigned,None,Unknown,Unsigned,,1.95 MB,2024-11-10 13:21:12,fb6840a98981bc94c6e4377cba1ff22b71e66152a6ba66aece70953f2af1ba2f
16,Unknown,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\AdaptiveCards.Rendering.Uwp.dll,Unsigned,None,Unknown,Unsigned,,1.80 MB,2024-11-10 13:21:12,6fcf0eedc55e725aaf823e3607870934ea0191846395c8f67eef027d84e1467f
17,Unknown,C:\WINDOWS\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\CoreMessagingXP.dll,Unsigned,None,Unknown,Unsigned,,0.99 MB,2025-01-19 12:41:05,f55db5bfe9299d882126864c66ba66e15bcea64c66da217e8e3ecec79e6edb25
18,Unknown,C:\WINDOWS\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\Microsoft.Internal.FrameworkUdk.dll,Unsigned,None,Unknown,Unsigned,,0.80 MB,2025-01-19 12:41:05,da6bc4cec6a370a1a9f940c71a8ad34593b353896e1794a1d6b4de80d31aeba0
19,Unknown,C:\WINDOWS\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\Microsoft.Internal.FrameworkUdk.CBS.dll,Unsigned,None,Unknown,Unsigned,,0.12 MB,2025-01-19 12:41:05,8ef5b209441f8d942f5d1b0d765826f095b42a8f496749c2185e597e28a84d4a
20,Unknown,C:\WINDOWS\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\Microsoft.UI.Xaml.dll,Unsigned,None,Unknown,Unsigned,,14.46 MB,2025-01-19 12:41:06,3dc88e96fc76095c8d13952ea96bca49d0883127c3a04f75f5322afe29a93769
